directory_name	Pressure	Tempeture	Velocity_X	Velocity_Y 	Velocity_Z 
001_070_5_00	101325	10	3464.1016 	2000.0000 	0.0000 	30
002_070_6_05	201325	20	3464.1016 	2000.0000 	0.0000 	30
003_070_7_10	301325	30	3464.1016 	2000.0000 	0.0000 	30
004_070_8_15	401325	40	3464.1016 	2000.0000 	0.0000 	30
005_070_9_20	501325	50	3464.1016 	2000.0000 	0.0000 	30
006_080_5_00	601325	60	3464.1016 	2000.0000 	0.0000 	30
007_080_6_05	701325	70	3464.1016 	2000.0000 	0.0000 	30
008_080_7_10	801325	80	10008	20008	30008	10
009_080_8_15	901325	90	10009	20009	30009	15
010_080_9_20	1001325	100	10010	20010	30010	20
011_090_5_00	1101325	110	10011	20011	30011	0
012_090_6_05	1201325	120	10012	20012	30012	5
013_090_7_10	1301325	130	10013	20013	30013	10
014_090_8_15	1401325	140	10014	20014	30014	15
015_090_9_20	1501325	150	10015	20015	30015	20
016_100_5_00	1601325	160	10016	20016	30016	0
017_100_6_05	1701325	170	10017	20017	30017	5
018_100_7_10	1801325	180	10018	20018	30018	10
019_100_8_15	1901325	190	10019	20019	30019	15
020_100_9_20	2001325	200	10020	20020	30020	20

